FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,terrain,geometry
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a78,Plateaux,Amou,Amou 3,Okpahoé,Ougbo Ali,Pépinière Dotche,Ougbo Ali,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2022,Prive - individuel,POINT (1.0030050000000001 7.619439999999999)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a79,Plateaux,Amou,Amou 3,Okpahoé,Ougbo Ali,Pépinière Amedome,Ougbo Ali,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2022,Prive - individuel,POINT (1.0042672764201725 7.620764221026831)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a7a,Plateaux,Amou,Amou 3,Okpahoé,Ougbo Ali,Plantation Namoussou,Ougbo Ali,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2022,Prive - individuel,POINT (1.0040327676361838 7.618406107095315)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a7b,Plateaux,Amou,Amou 3,Okpahoé,Ougbo Ali,Pépinière Mayide,Ougbo Ali,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2022,Prive - individuel,POINT (1.002284579828451 7.621778601775569)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a7c,Plateaux,Amou,Amou 3,Okpahoé,APEDOME,Pépinière Ameko,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,Prive - individuel,POINT (1.04323 7.595258333333334)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a7d,Plateaux,Amou,Amou 3,Okpahoé,APEDOME,Pépinière Namadi,Nsp,"{Lundi,Mercredi,Vendredi,Dimanche}",2009,Prive - individuel,POINT (1.0425783333333334 7.594651666666666)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a7e,Plateaux,Amou,Amou 3,Okpahoé,APEDOME,Pépinière Ekoume,Néant,"{Lundi,Mercredi,jeudi,Vendredi,Samedi,Dimanche,Mardi}",2000,Prive - individuel,POINT (1.041415 7.594424999999999)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a7f,Plateaux,Amou,Amou 3,Okpahoé,APEDOME,Pépinière Atchana,Néant,"{Lundi,Mardi,Mercredi,Vendredi,jeudi,Samedi,Dimanche}",2008,Prive - individuel,POINT (1.0406866666666665 7.594756666666666)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a80,Plateaux,Amou,Amou 3,Okpahoé,APEDOME,Pépinière Koutchogna,Néant,"{Lundi,Mercredi,Vendredi,Dimanche}",2010,Prive - individuel,POINT (1.04031 7.594163333333334)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a81,Plateaux,Amou,Amou 3,Okpahoé,APEDOME,Pépinière Aligda,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",Nsp,Prive - individuel,POINT (1.0397733333333332 7.594096666666667)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a82,Plateaux,Amou,Amou 3,Okpahoé,APEDOME,Pépinière Mawousi,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2016,Prive - individuel,POINT (1.0394949999999998 7.593736666666667)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a83,Plateaux,Amou,Amou 3,Okpahoé,APEDOME,Pépinière Novigro,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,Prive - individuel,POINT (1.03818 7.593286666666668)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a84,Plateaux,Amou,Amou 3,Okpahoé,APEDOME,Pépinière Kewoula,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2007,Prive - individuel,POINT (1.0372666666666668 7.592925000000001)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a85,Plateaux,Kloto,Kloto 1,Tomé,AVEHOKPETA,Tchomenegnon,96564701,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2022,Prive - individuel,POINT (0.6411404931977687 6.8199415811641355)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a86,Plateaux,Amou,Amou 3,Okpahoé,APEDOME,Pépinière Siamey,S/c 91373822,"{Lundi,Mercredi,Mardi,jeudi,Vendredi,Samedi,Dimanche}",1989,Prive - individuel,POINT (1.0308549999999999 7.593226666666667)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a87,Plateaux,Amou,Amou 3,Okpahoé,APEDOME,Pépinière Fiewoula,S/c 91373822,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,Prive - individuel,POINT (1.0306916666666666 7.5934133333333325)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a88,Plateaux,Amou,Amou 3,Okpahoé,APEDOME,Pépinière René,S/c 91373822,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",1989,Prive - individuel,POINT (1.0308733333333333 7.593111666666665)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a89,Plateaux,Amou,Amou 3,Okpahoé,APEDOME,Pépinière Mawuli,S/c 91373822,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,Prive - individuel,POINT (1.03098 7.593085)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a8a,Plateaux,Amou,Amou 3,Okpahoé,APEDOME,Pépinière N'dewone,S/c 91373822,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2021,Prive - individuel,POINT (1.0306566666666666 7.593913333333334)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a8b,Plateaux,Amou,Amou 3,Avédjè,WASSEBE,Pépinière Atteyata,93590662/96182428,"{Lundi,Mardi,jeudi,Vendredi,Samedi,Dimanche}",2006,Prive - individuel,POINT (1.1346850000000002 7.474605)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a8c,Plateaux,Amou,Amou 3,Avédjè,LOTO,Pépinière Aboudou,Nsp,"{Lundi,Mercredi,Vendredi,Dimanche}",2022,Prive - individuel,POINT (1.1331449999999998 7.432771666666667)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a8d,Plateaux,Amou,Amou 3,Avédjè,LOTO,Pépinière Dossou,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2022,Prive - individuel,POINT (1.1328066666666667 7.431438333333333)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a8e,Plateaux,Amou,Amou 3,Avédjè,AGJIGO,Pépinière Afandolo,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2021,Prive - individuel,POINT (1.1279416666666666 7.383033333333333)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a8f,Plateaux,Amou,Amou 3,Avédjè,Okafou,Pépinière Akpo,Okafou,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",1990,Foncier National - terre de l Etat Non allouee,POINT (1.1134533333333332 7.446225)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a90,Plateaux,Amou,Amou 3,Avédjè,AVEDJE ITADI,Pépinière Sofondji,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2016,Prive - individuel,POINT (1.1346166666666666 7.474651666666667)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a91,Plateaux,Amou,Amou 3,Avédjè,AVEDJE ITADI,Pépinière Akpemado,Néant,"{Lundi,Mercredi,Vendredi,Dimanche}",Nsp,Prive - individuel,POINT (1.0950966666666666 7.458825)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a92,Plateaux,Amou,Amou 3,Avédjè,Okafou,Pépinière Aube Nouvelle,Okafou,"{Lundi,Mardi,Mercredi,Vendredi,Samedi,Dimanche}",2021,Prive - individuel,POINT (1.0957666666666666 7.458566666666667)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a93,Plateaux,Amou,Amou 3,Avédjè,Okafou,Pépinière Messilani,Okafou,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2013,Prive - individuel,POINT (1.0938783333333333 7.459748333333333)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a94,Plateaux,Amou,Amou 3,Avédjè,WASSEBE,Pépinière Ayivi,98615704,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",1978,Prive - individuel,POINT (1.1348533333333333 7.4749516666666675)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a95,Plateaux,Amou,Amou 3,Avédjè,OKAFOU,Pépinière  Tchani,92906415,"{Lundi,jeudi,Mardi,Mercredi}",2022,Prive - individuel,POINT (1.09642 7.456356666666666)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a96,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,BEME,dessou ,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,Prive - individuel,POINT (0.714635 7.108158333333334)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a97,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,ADETA ,Adeta ,Nsp,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",Nsp,Nsp,POINT (0.7317527396018458 7.118740669209863)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a98,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,TUTU,La Grace ,Nsp,"{Lundi,Mardi,Mercredi,Vendredi,jeudi,Samedi,Dimanche}",2019,Prive - Collectivite coutumiere,POINT (0.7414783333333334 7.0938799999999995)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a99,Plateaux,Danyi,Danyi 1,Danyi-Atigba,EZAPE ,Agligna,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2010,Prive - Collectivite coutumiere,POINT (0.6966716666666667 7.290333333333333)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a9a,Plateaux,Danyi,Danyi 1,Danyi-Atigba,WETROPE,Kowu,90272829,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2021,Prive - individuel,POINT (0.690495 7.281815)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a9b,Plateaux,Danyi,Danyi 1,Danyi-Atigba,WETROPE,Adompre,98165555,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,Prive - individuel,POINT (0.6872952425295498 7.273276358252737)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a9c,Plateaux,Danyi,Danyi 1,Danyi-Atigba,DZOGBEGAN,CPMV(centre de Production de Matières Végétale),Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Foncier National - terre de l Etat Non allouee,POINT (0.679045 7.241460000000001)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a9d,Plateaux,Danyi,Danyi 1,Danyi-Atigba,WETROPE,Ametome ,Nsp ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,Prive - individuel,POINT (0.6912900000000001 7.271824999999999)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a9e,Plateaux,Danyi,Danyi 1,Danyi-Atigba,AFIADENYIGBA ,Afiadenyigba ,Afiadenyigba ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",1995,Prive - individuel,POINT (0.7027783333333333 7.294238333333334)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2a9f,Plateaux,Danyi,Danyi 1,Danyi-Atigba,AFIADENYIGBA ,Afiadenyigba ,Afiadenyigba ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2005,Prive - individuel,POINT (0.7023733333333334 7.292565)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2aa0,Plateaux,Danyi,Danyi 1,Danyi-Atigba,DZOGBEGAN,Azameti,91125886,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2019,Prive - individuel,POINT (0.6784316666666667 7.235783333333334)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2aa1,Plateaux,Danyi,Danyi 1,Danyi-Atigba,MEMPEASSEM,Amedome,99810554,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2021,Prive - individuel,POINT (0.6948116666666666 7.233963333333333)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2aa2,Plateaux,Danyi,Danyi 1,Danyi-Atigba,TODOME,Edoh,90250416,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",1997,Prive - individuel,POINT (0.6823666666666667 7.186293333333333)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2aa3,Plateaux,Danyi,Danyi 1,Danyi-Atigba,TODOME,Edoh,90250416,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2021,Prive - individuel,POINT (0.6831616666666667 7.185178333333332)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2aa4,Plateaux,Danyi,Danyi 1,Danyi-Atigba,APEYEME ,Apeyeme ,Nsp ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2002,Prive - individuel,POINT (0.68836 7.1923933333333325)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2aa5,Plateaux,Danyi,Danyi 1,Danyi-Atigba,DZOGBEGAN ,Dzogbegan ,Nsp ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2000,Prive - individuel,POINT (0.6769065186155044 7.234157703029706)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2aa6,Plateaux,Danyi,Danyi 1,Danyi-Atigba,DZOGBEGAN ,Dzogbegan ,Nsp ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2000,Prive - individuel,POINT (0.6935866874843466 7.233748166699752)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2aa7,Plateaux,Danyi,Danyi 1,Danyi-Atigba,GBALADZE ,Gbaladze ,Nsp ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2015,Prive - individuel,POINT (0.7457550000000001 7.227911666666667)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2aa8,Plateaux,Danyi,Danyi 1,Yikpa,DAFO ,Dafo ,Sewonu,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2011,Prive - individuel,POINT (0.5983083333333333 7.122103333333333)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2aa9,Plateaux,Danyi,Danyi 1,Yikpa,DAFO ,Dafo ,Numatchi,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,Prive - individuel,POINT (0.5991316666666666 7.121568333333332)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2aaa,Plateaux,Danyi,Danyi 1,Yikpa,ANYIGBE ,Anyigbe ,Nsp ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2021,Prive - individuel,POINT (0.6086849999999999 7.121998333333333)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2aab,Plateaux,Danyi,Danyi 1,Yikpa,DZIGBE ,Dzigbe ,Nsp ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2016,Prive - individuel,POINT (0.6173633333333334 7.1305716666666665)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2aac,Plateaux,Kloto,Kloto 1,Tové,AGBESSIA ,Ade,Bp 34,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2017,Domaine prive de l Etat ou des collectivites territoriales,POINT (0.663335 6.873463333333333)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2aad,Plateaux,Danyi,Danyi 1,Yikpa,KPONOE ,Kponoe ,Nsp ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,Prive - individuel,POINT (0.6176316666666666 7.152701666666667)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2aae,Plateaux,Danyi,Danyi 1,Yikpa,KPONOE ,Kponoe ,Nsp ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,Prive - individuel,POINT (0.6186716666666666 7.15468)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2aaf,Plateaux,Danyi,Danyi 1,Danyi-Kakpa,DZEDRAME ,Dzedrame ,Nsp ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2002,Prive - individuel,POINT (0.6303233333333333 7.188563333333334)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ab0,Plateaux,Danyi,Danyi 2,Danyi-Kpeto-Evita,WETROPÉ ,Aziadome Kokou,79518488,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2015,Domaine prive de l Etat ou des collectivites territoriales,POINT (0.6917366666666667 7.270904999999999)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ab1,Plateaux,Danyi,Danyi 1,Danyi-Kakpa,DZEDRAME ,Dzedrame ,Nsp ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2010,Prive - individuel,POINT (0.6321816666666666 7.184463333333334)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ab2,Plateaux,Danyi,Danyi 1,Danyi-Kakpa,DZEDRAME ,Dzedrame ,Nsp ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2010,Prive - individuel,POINT (0.6323166666666666 7.184399999999999)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ab3,Plateaux,Danyi,Danyi 1,Danyi-Kakpa,DZEDRAME ,Dzedrame ,Nsp ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",1990,Prive - individuel,POINT (0.6325016666666666 7.184053333333333)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ab4,Plateaux,Danyi,Danyi 1,Danyi-Kakpa,DZEDRAME ,Dzedrame ,Nsp ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2010,Prive - individuel,POINT (0.6330283333333333 7.184461666666666)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ab5,Plateaux,Danyi,Danyi 1,Danyi-Kakpa,DZEDRAME ,Dzedrame ,Nsp ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2007,Prive - individuel,POINT (0.6341616666666667 7.175268333333334)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ab6,Plateaux,Danyi,Danyi 1,Danyi-Kakpa,KOUDZRAVI ,Koudzravi ,97770426,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,Prive - individuel,POINT (0.6451133333333333 7.138448333333334)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ab7,Plateaux,Danyi,Danyi 1,Danyi-Kakpa,KOUDZRAGAN,Pépinière d' Aubergine ,98058032,"{Lundi,Mardi,jeudi,Mercredi,Vendredi,Samedi,Dimanche}",2020,Prive - individuel,POINT (0.6247199999999999 7.1591000000000005)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ab8,Plateaux,Danyi,Danyi 1,Danyi-Kakpa,KOUDZRAGAN,Tuako,92974310,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2013,Prive - individuel,POINT (0.6256472114583307 7.160513860169724)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ab9,Plateaux,Danyi,Danyi 2,Danyi-Kpeto-Evita,ANKOUVI,Agnigbagno,93957795,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2021,Prive - individuel,POINT (0.75643 7.249314999999999)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2aba,Plateaux,Danyi,Danyi 2,Danyi-Kpeto-Evita,KPETO,Edjonawo,97843254,"{Dimanche,Samedi,Vendredi,jeudi,Mardi,Mercredi,Lundi}",2008,Prive - individuel,POINT (0.7545226238481936 7.2556069498189535)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2abb,Plateaux,Danyi,Danyi 2,Danyi-Kpeto-Evita,DAFO ,Dafo,Djilo,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2014,Prive - individuel,POINT (0.7288433333333334 7.263176666666667)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2abc,Plateaux,Danyi,Danyi 2,Danyi-Kpeto-Evita,DAFO ,Dafo ,Howutse ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",1992,Prive - individuel,POINT (0.7381949999999999 7.251865)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2abd,Plateaux,Danyi,Danyi 2,Danyi-Kpeto-Evita,TONOTA,Tsevi,90840500,"{Lundi,Mardi,Mercredi,jeudi,Samedi,Dimanche,Vendredi}",2010,Prive - individuel,POINT (0.72053 7.243986666666666)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2abe,Plateaux,Danyi,Danyi 2,Danyi-Kpeto-Evita,TONOTA,Tsevi,90840500,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2010,Prive - individuel,POINT (0.7208583333333334 7.244513333333333)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2abf,Plateaux,Danyi,Danyi 2,Danyi-Kpeto-Evita,DAFO ,Dafo ,Nsp,Nsp,Nsp,Nsp,POINT (0.7265934657762324 7.267611427987513)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ac0,Plateaux,Danyi,Danyi 2,Danyi-Kpeto-Evita,DAFO ,Dafo ,Nsp ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2020,Prive - individuel,POINT (0.7265733333333333 7.267173333333333)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ac1,Plateaux,Danyi,Danyi 2,Danyi-Kpeto-Evita,TONOTA,Tonota ,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2017,Prive - individuel,POINT (0.726690160335366 7.252585683606127)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ac2,Plateaux,Danyi,Danyi 2,Danyi-Elavagnon,ELAVAGNYO ,Nyuiexope,91219731,"{Samedi,Vendredi,Dimanche,jeudi,Mercredi,Mardi,Lundi}",2000,Prive - individuel,POINT (0.717385 7.307261666666666)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ac3,Plateaux,Danyi,Danyi 2,Ahlon,DENOU,Pépinière denou ,denou ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2020,Prive - entreprise,POINT (0.6684916666666666 7.320335)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ac4,Plateaux,Danyi,Danyi 2,Ahlon,AKAYO 2,Akayo 2,Nsp ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2000,Prive - individuel,POINT (0.6711583333333333 7.24409)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ac5,Plateaux,Kloto,Kloto 1,Tové,AGOU NYOGBO ,Piments ,Agou Nyogbo/Kpalimé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2005,Prive - individuel,POINT (0.7130065654255185 6.874274104984874)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ac6,Centrale,Blitta,Blitta 1,Blitta-Village,Kokonade,Pepinière EPP Kokonade,Nsp,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2021,Domaine public de l Etat ou des collectivites territoriales,POINT (1.0318033333333332 8.366395)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ac7,Centrale,Blitta,Blitta 1,Blitta-Village,LAWAYI,Pépinièresde Lawayi ,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2005,Prive - individuel,POINT (1.02582 8.36952)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ac8,Centrale,Blitta,Blitta 1,Blitta-Village,LAOUWAI,Pépinière  de Laouwai,Nsp,"{Lundi,Mardi,Mercredi,Vendredi,Samedi,jeudi,Dimanche}",1990,Prive - individuel,POINT (1.0294750000000001 8.388056666666667)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2ac9,Plateaux,Est-Mono,Est-Mono 3,Nyamassila, KPOTA ,Paradigme,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Dimanche,Samedi}",2017,Ne sait pas,POINT (1.19157 7.98334)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2aca,Plateaux,Haho,Haho 1,Atchavé,Aya Kope,Pepiniere Mawupemo,Néant ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2015,Prive - individuel,POINT (1.1100887282589316 6.8170496976104475)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_2acb,Plateaux,Haho,Haho 4,Wahala,WAHALA Ville,Tomone,Site Tde,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2015,Domaine public de l Etat ou des collectivites territoriales,POINT (1.16561 7.178646666666666)
